29,23
26,21
22,24
53,57
29,28
45,37
41,37
23,20
55,52
41,35
53,49
40,36
38,41
27,25
37,34
38,38
23,20
36,35
38,32
30,29
40,33
26,23
31,25
37,27
31,28
40,33
33,33
29,21
45,46
42,39
42,40
43,43
46,47
45,40
37,38
32,33
36,30
48,45
26,22
31,31
46,44
44,40
32,28
35,27
35,34
34,31
15,10
33,27
39,42
59,57
23,22
31,28
33,28
28,24
30,24
19,15
35,31
32,26
41,37
37,38
46,43
51,53
38,32
25,28
39,38
49,46
36,33
40,31
28,25
50,49
40,35
33,34
21,16
30,26
27,25
32,31
40,41
44,47
38,36
37,32
40,39
60,52
39,39
38,29
51,50
37,34
30,23
45,38
33,32
38,33
