27,0
41,0
23,0
39,0
26,0
25,0
29,0
22,0
34,0
43,0
31,0
38,0
35,0
44,0
32,0
36,0
56,0
44,0
25,0
44,0
25,0
34,0
36,0
41,0
30,0
38,0
49,0
16,0
24,0
44,0
31,0
33,0
42,0
54,0
22,0
25,0
33,0
34,0
34,0
31,0
44,0
25,0
35,0
42,0
37,0
28,0
35,0
31,0
28,0
46,0
32,0
28,0
27,0
35,0
20,0
19,0
35,0
22,0
30,0
40,0
42,0
47,0
24,0
41,0
36,0
45,0
35,0
41,0
44,0
30,0
29,0
22,0
33,0
37,0
27,0
34,0
30,0
30,0
41,0
41,0
44,0
24,0
32,0
39,0
22,0
51,0
36,0
29,0
43,0
37,0
37,1
30,1
21,1
28,1
31,1
41,1
42,1
29,1
44,1
43,1
35,1
28,1
45,1
35,1
27,1
39,1
41,1
23,1
53,1
17,1
22,1
48,1
39,1
33,1
37,1
43,1
29,1
45,1
43,1
36,1
38,1
31,1
29,1
33,1
46,1
34,1
32,1
28,1
26,1
37,1
46,1
48,1
42,1
34,1
33,1
40,1
45,1
45,1
17,1
36,1
28,1
32,1
52,1
30,1
21,1
38,1
35,1
33,1
44,1
42,1
40,1
34,1
40,1
34,1
38,1
42,1
40,1
30,1
32,1
27,1
45,1
36,1
31,1
43,1
32,1
41,1
50,1
45,1
35,1
35,1
54,1
35,1
39,1
39,1
45,1
38,1
40,1
39,1
60,1
44,1
